year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
2014,Brazil,Sao Paulo,Group H,South Korea,Belgium,0,1,A,,Belgium,South Korea,26-06-2014,Jun,Thursday
2014,Brazil,Brasília,Group G,Portugal,Ghana,2,1,H,,Portugal,Ghana,26-06-2014,Jun,Thursday
2014,Brazil,Recife,Group G,United States,Germany,0,1,A,,Germany,United States,26-06-2014,Jun,Thursday
2014,Brazil,Belo Horizonte,Round of 16,Brazil,Chile,1,1,H,Brazil won in penalties (3 - 2),Brazil,Chile,28-06-2014,Jun,Saturday
2014,Brazil,Rio de Janeiro,Round of 16,Colombia,Uruguay,2,0,H,,Colombia,Uruguay,28-06-2014,Jun,Saturday
2014,Brazil,Recife,Round of 16,Costa Rica,Greece,1,1,H,Costa Rica won in penalties (5 - 3),Costa Rica,Greece,29-06-2014,Jun,Sunday
2014,Brazil,Fortaleza,Round of 16,Netherlands,Mexico,2,1,H,,Netherlands,Mexico,29-06-2014,Jun,Sunday
2014,Brazil,Brasília,Round of 16,France,Nigeria,2,0,H,,France,Nigeria,30-06-2014,Jun,Monday
2014,Brazil,Porto Alegre,Round of 16,Germany,Algeria,2,1,H,Germany won in AET,Germany,Algeria,30-06-2014,Jun,Monday
2014,Brazil,Sao Paulo,Round of 16,Argentina,Switzerland,1,0,H,Argentina won in AET,Argentina,Switzerland,01-07-2014,Jul,Tuesday
2014,Brazil,Salvador,Round of 16,Belgium,United States,2,1,H,Belgium won in AET,Belgium,United States,01-07-2014,Jul,Tuesday
2014,Brazil,Fortaleza,Quarterfinals,Brazil,Colombia,2,1,H,,Brazil,Colombia,04-07-2014,Jul,Friday
2014,Brazil,Rio de Janeiro,Quarterfinals,France,Germany,0,1,A,,Germany,France,04-07-2014,Jul,Friday
2014,Brazil,Brasília,Quarterfinals,Argentina,Belgium,1,0,H,,Argentina,Belgium,05-07-2014,Jul,Saturday
2014,Brazil,Salvador,Quarterfinals,Netherlands,Costa Rica,0,0,H,Netherlands won in penalties (4 - 3),Netherlands,Costa Rica,05-07-2014,Jul,Saturday
2014,Brazil,Belo Horizonte,Semifinals,Brazil,Germany,1,7,A,,Germany,Brazil,08-07-2014,Jul,Tuesday
2014,Brazil,Sao Paulo,Semifinals,Netherlands,Argentina,0,0,A,Argentina won in penalties (4 - 2),Argentina,Netherlands,09-07-2014,Jul,Wednesday
2014,Brazil,Brasília,Third place,Brazil,Netherlands,0,3,A,,Netherlands,Brazil,12-07-2014,Jul,Saturday
2014,Brazil,Rio de Janeiro,Final,Germany,Argentina,1,0,H,Germany won in AET,Germany,Argentina,13-07-2014,Jul,Sunday
2018,Russia,Moscow,Group A,Russia,Saudi Arabia,5,0,H,,Russia,Saudi Arabia,14-06-2018,Jun,Thursday
2018,Russia,Ekaterinburg,Group A,Egypt,Uruguay,0,1,A,,Uruguay,Egypt,15-06-2018,Jun,Friday
2018,Russia,Saint Petersburg,Group B,Morocco,Iran,0,1,A,,Iran,Morocco,15-06-2018,Jun,Friday
2018,Russia,Sochi,Group B,Portugal,Spain,3,3,D,,NA,NA,15-06-2018,Jun,Friday
2018,Russia,Kazan,Group C,France,Australia,2,1,H,,France,Australia,16-06-2018,Jun,Saturday
2018,Russia,Moscow,Group D,Argentina,Iceland,1,1,D,,NA,NA,16-06-2018,Jun,Saturday
2018,Russia,Saransk,Group C,Peru,Denmark,0,1,A,,Denmark,Peru,16-06-2018,Jun,Saturday
2018,Russia,Kaliningrad,Group D,Croatia,Nigeria,2,0,H,,Croatia,Nigeria,16-06-2018,Jun,Saturday
2018,Russia,Samara,Group E,Costa Rica,Serbia,0,1,A,,Serbia,Costa Rica,17-06-2018,Jun,Sunday
2018,Russia,Moscow,Group F,Germany,Mexico,0,1,A,,Mexico,Germany,17-06-2018,Jun,Sunday
2018,Russia,Rostov-on-Don,Group E,Brazil,Switzerland,1,1,D,,NA,NA,17-06-2018,Jun,Sunday
2018,Russia,Nizhny Novgorod,Group F,Sweden,South Korea,1,0,H,,Sweden,South Korea,18-06-2018,Jun,Monday
2018,Russia,Sochi,Group G,Belgium,Panama,3,0,H,,Belgium,Panama,18-06-2018,Jun,Monday
2018,Russia,Volgograd,Group G,Tunisia,England,1,2,A,,England,Tunisia,18-06-2018,Jun,Monday
2018,Russia,Saransk,Group H,Colombia,Japan,1,2,A,,Japan,Colombia,19-06-2018,Jun,Tuesday
